CustomerID,Lookalikes
C0001,"[('C0184', 0.9953164048833796), ('C0152', 0.9864612809579393), ('C0147', 0.9825659781663757)]"
C0002,"[('C0159', 0.9762072067882096), ('C0007', 0.9760589174730907), ('C0005', 0.9649656972249261)]"
C0003,"[('C0190', 0.990316934348167), ('C0181', 0.9672020707397309), ('C0191', 0.9666815895607868)]"
C0004,"[('C0113', 0.9848821475382803), ('C0102', 0.9818399221523827), ('C0165', 0.9720521238337517)]"
C0005,"[('C0159', 0.9981854734500303), ('C0007', 0.9896700096910078), ('C0002', 0.9649656972249261)]"
C0006,"[('C0126', 0.9908486592116308), ('C0187', 0.9575283895069782), ('C0137', 0.9560439924127484)]"
C0007,"[('C0159', 0.9927704645126596), ('C0005', 0.9896700096910078), ('C0002', 0.9760589174730907)]"
C0008,"[('C0018', 0.9455849910250068), ('C0034', 0.9369334860717412), ('C0046', 0.9246580435539458)]"
C0009,"[('C0119', 0.9831364766104133), ('C0063', 0.97346075523267), ('C0121', 0.9642411985592488)]"
C0010,"[('C0019', 0.9913050237693206), ('C0073', 0.976647070391626), ('C0199', 0.9760924594061883)]"
C0011,"[('C0107', 0.99212001597206), ('C0001', 0.9699507008017357), ('C0174', 0.9683866383687467)]"
C0012,"[('C0013', 0.9804910159898064), ('C0039', 0.9724461339128748), ('C0195', 0.9588594845274615)]"
C0013,"[('C0012', 0.9804910159898064), ('C0087', 0.9764560644826389), ('C0039', 0.9139505157163086)]"
C0014,"[('C0063', 0.9805580562974943), ('C0119', 0.9649164978615967), ('C0009', 0.9548829891651738)]"
C0015,"[('C0058', 0.9888523123725128), ('C0020', 0.9801691645587975), ('C0033', 0.9672799575162817)]"
C0016,"[('C0183', 0.9886546702283606), ('C0185', 0.9851159012770629), ('C0026', 0.9729428266158914)]"
C0017,"[('C0041', 0.9702408063377739), ('C0124', 0.9366441656374351), ('C0075', 0.9269253038411537)]"
C0018,"[('C0046', 0.9885294771379075), ('C0008', 0.9455849910250068), ('C0194', 0.9452178402162211)]"
C0019,"[('C0010', 0.9913050237693206), ('C0199', 0.9888668901650799), ('C0197', 0.9836583346464355)]"
C0020,"[('C0033', 0.9944885126980001), ('C0058', 0.9849095772277258), ('C0015', 0.9801691645587975)]"
